structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
4060,3,127687083,CX,"LOrG","lateral orbital gyrus, left",121128827,126,122,43,-35.0,48.0,-13.0,-36.7225075623168,46.2161078999887,-12.6620899384137
4039,3,127687019,CX,"trIFG","inferior frontal gyrus, triangular part, left",121128829,136,113,43,-45.0,48.0,-4.0,-43.879005764637597,46.224685338400903,-4.23001931446595
4288,6,156434445,CX,"Pu","putamen, left",126221599,120,110,82,-29.0,9.0,-1.0,-29.769494474883899,8.4640076017525505,-0.176027008812114
4296,7,156434413,CX,"GPi","globus pallidus, internal segment, left",126715267,113,113,92,-22.0,-1.0,-4.0,-22.710441220206299,-0.47765633382280698,-2.58327136332034
4295,7,156434587,CX,"GPe","globus pallidus, external segment, left",126715266,114,109,92,-23.0,-1.0,0.0,-23.9761764136552,-0.76604848709345497,1.53989380567639
4288,7,156434571,CX,"Pu","putamen, left",126715265,120,107,92,-29.0,-1.0,2.0,-29.513370919563201,-1.3319851661629301,2.93883516524813
4746,61,156434569,CB,"He-X","X, left, lateral hemisphere",146148179,115,150,125,-24.0,-34.0,-41.0,-22.961649403365598,-33.744142072567499,-40.8442510468833
4743,61,156434553,CB,"He-VIIIB","VIIIB, left, lateral hemisphere",146148084,115,173,145,-24.0,-54.0,-64.0,-23.058669920403801,-55.563232397281801,-59.8473827950819
4736,61,156434537,CB,"He-V","V, left, lateral hemisphere",146149505,115,126,138,-24.0,-47.0,-17.0,-19.023319523877898,-47.149159586982002,-19.7982545555679
4735,61,156434521,CB,"He-IV","IV, left, lateral hemisphere",146149595,115,138,125,-24.0,-34.0,-29.0,-21.173527373491002,-33.122224626867201,-28.7952812381254
4742,61,156434539,CB,"He-VIIIA","VIIIA, left, lateral hemisphere",146146478,115,172,157,-24.0,-66.0,-63.0,-23.176488707938301,-67.222052514755703,-60.0539102166912
4740,61,156434507,CB,"He-Crus II","Crus II, left, lateral hemisphere",146145783,115,150,181,-24.0,-90.0,-41.0,-21.916153390956499,-89.710493797932898,-36.5263593298963
4739,61,156434491,CB,"He-Crus I","Crus I, left, lateral hemisphere",146145918,115,142,180,-24.0,-89.0,-33.0,-21.508778271770598,-87.9580596859347,-27.3512786333897
4740,61,156434427,CB,"He-Crus II","Crus II, left, lateral hemisphere",146145782,115,147,182,-24.0,-91.0,-38.0,-21.706184413457301,-90.470172036653693,-33.2009102790716
4728,62,149052696,CB,"PV-IX","IX, left, paravermis",128130460,105,166,134,-14.0,-43.0,-57.0,-13.9962855527756,-45.053155147302498,-55.4859078656758
4726,62,149052776,CB,"PV-VIIIA","VIIIA, left, paravermis",128198349,105,171,159,-14.0,-68.0,-62.0,-13.4725923554369,-68.509476000465796,-56.5987462964196
4726,62,149052760,CB,"PV-VIIIA","VIIIA, left, paravermis",128198347,105,172,158,-14.0,-67.0,-63.0,-13.476408611283,-67.423633558499603,-57.3558941432765
4725,62,149052728,CB,"PV-VIIB","VIIB, left, paravermis",128198488,105,167,165,-14.0,-74.0,-58.0,-13.309212500563101,-74.685081994740898,-53.2931473197201
4720,62,147712620,CB,"PV-V","V, left, paravermis",146086913,105,119,150,-14.0,-59.0,-10.0,-12.078119403925299,-58.8871361198157,-12.1312629191475
4719,62,147712588,CB,"PV-IV","IV, left, paravermis",146087091,105,118,130,-14.0,-39.0,-9.0,-11.2652835940107,-39.833542679444001,-12.5205438617274
4720,62,147712604,CB,"PV-V","V, left, paravermis",146086821,105,118,149,-14.0,-58.0,-9.0,-11.953884289041101,-57.911199653803401,-11.3337261062127
4719,62,147712572,CB,"PV-IV","IV, left, paravermis",146087134,105,118,129,-14.0,-38.0,-9.0,-11.3300905847486,-38.730283682428002,-12.3942802891887
4723,62,147712684,CB,"PV-Crus I","Crus I, left, paravermis",146080276,105,140,175,-14.0,-84.0,-31.0,-12.4006165540781,-82.365699890515103,-23.5444430444486
4722,62,147712716,CB,"PV-VI","VI, left, paravermis",146080300,105,128,167,-14.0,-76.0,-19.0,-12.450011319302799,-73.748237069590701,-16.2853291650641
4724,62,147712636,CB,"PV-Crus II","Crus II, left, paravermis",146080227,105,155,179,-14.0,-88.0,-46.0,-12.9661343449191,-87.800648841181697,-40.5422651737483
4713,63,147712624,CB,"Ve-X","X",146140136,94,141,139,-3.0,-48.0,-32.0,-2.7060441076073101,-48.202999625045003,-32.5403018675556
4711,63,147712686,CB,"Ve-IX","IX",146140605,94,151,147,-3.0,-56.0,-42.0,-3.7292854177677901,-56.669170890495501,-41.9253865416798
4709,63,147712560,CB,"Ve-VIIIA","VIIIA",146806879,94,156,159,-3.0,-68.0,-47.0,-3.59617911837138,-70.2891261126112,-45.7420706401427
4711,63,147712670,CB,"Ve-IX","IX",146140604,94,151,146,-3.0,-55.0,-42.0,-3.6396071904966001,-55.613094980018502,-42.0229845239017
4708,63,147712702,CB,"Ve-VIIB","VIIB",146140659,94,143,161,-3.0,-70.0,-34.0,-3.1043542166742801,-69.699898919215599,-32.3253755037628
4707,63,147712720,CB,"Ve-VIIAt","VIIAt",146141465,94,145,167,-3.0,-76.0,-36.0,-2.62541611601225,-76.041896995356396,-33.0446222230486
4707,63,147712704,CB,"Ve-VIIAt","VIIAt",146141482,94,147,165,-3.0,-74.0,-38.0,-2.9569966686337001,-74.606270003330707,-35.4057378187989
4705,63,147712640,CB,"Ve-VI","VI",146140937,94,130,161,-3.0,-70.0,-21.0,-3.0117434171520698,-68.377359304239206,-21.2776122744818
4703,63,147712622,CB,"Ve-V","V",146140798,94,106,159,-3.0,-68.0,3.0,-0.96299566019119198,-64.226284830527206,2.89654882733986
4701,63,147712558,CB,"Ve-III","III",146140732,94,119,132,-3.0,-41.0,-10.0,-1.89689853348043,-41.0574363776445,-13.2881385050273
4701,63,149052710,CB,"Ve-III","III",146140732,95,119,132,-4.0,-41.0,-10.0,-2.8252599777221001,-41.172384937601002,-13.3856718337743
4245,9,147712570,CX,"PHG-cos","parahippocampal gyrus, left, bank of the cos",127050009,131,131,119,-40.0,-28.0,-22.0,-33.265727314343003,-26.827661691473502,-19.088657703507
4214,15,149052790,CX,"SOG-s","superior occipital gyrus, left, superior bank of gyrus",127749299,115,87,185,-24.0,-94.0,22.0,-24.741057150714401,-93.961591151624901,22.2299969105227
4194,15,149052774,CX,"LiG-str","lingual gyrus, left, striate",127749302,97,104,185,-6.0,-94.0,5.0,-5.05583694603515,-93.123552580234502,7.47843630820478
4186,15,149052742,CX,"Cun-pest","cuneus, left, peristriate",127749300,98,87,185,-7.0,-94.0,22.0,-8.5731233964744806,-92.144291967406403,23.0081240766723
4910,15,149052838,CX,"OPi","occipital pole, left, inferior aspect",127752040,117,125,185,-26.0,-94.0,-16.0,-24.703851438306401,-92.986777580645807,-11.2461467502278
4909,15,149052822,CX,"OPs","occipital pole, left, superior aspect",127752039,119,122,185,-28.0,-94.0,-13.0,-26.658301307360301,-93.770420074190298,-8.76849225007869
4215,15,149052806,CX,"SOG-i","superior occipital gyrus, left, inferior bank of gyrus",127752038,127,113,185,-36.0,-94.0,-4.0,-33.240850510041597,-94.809512840505604,-0.658293150097056
4186,14,149052694,CX,"Cun-pest","cuneus, left, peristriate",127563326,97,99,177,-6.0,-86.0,10.0,-5.3620493994791998,-83.359221004392893,12.0248746176319
4214,13,141667135,CX,"SOG-s","superior occipital gyrus, left, superior bank of gyrus",127562528,128,81,168,-37.0,-77.0,28.0,-39.8415698977768,-76.706470474637399,30.220918811709
4150,12,141667181,CX,"ITG-l","inferior temporal gyrus, left, lateral bank of gyrus",127562211,150,125,158,-59.0,-67.0,-16.0,-53.066071936976101,-68.283365405541502,-15.0041046121817
4238,11,147712584,CX,"CgGr-i","cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",127512017,114,107,144,-23.0,-53.0,2.0,-19.8273817814352,-51.580031885231698,2.30976915609149
